,Symbol,Description,OrderID,Quantity,Action,Exchange,Side,Price,News
342,EXPE,Expedia Inc,3237,739000,M,3,S,120.77,0
343,FAST,Fastenal Co,2138,402000,M,2,B,49.62,0
344,FB,Facebook,1239,665000,M,1,S,133.38,0
345,FISV,Fiserv Inc,2240,255000,M,2,S,105.48,0
346,FOX,21st Century Fox Class B,1241,418000,M,1,S,27.79,50
347,FOXA,21st Century Fox Class A,3242,907000,M,3,S,31.64,0
348,GILD,Gilead Sciences Inc,2143,495000,M,2,B,72.82,0
349,GOOG,Alphabet Class C,3144,874000,M,3,B,795.695,0
350,GOOGL,Alphabet Class A,2245,263000,M,2,S,815.36,0
351,HSIC,Henry Schein Inc,3246,985000,M,3,S,159.88,0
352,ILMN,Illumina Inc,3247,612000,M,3,S,162.77,50
353,INCY,Incyte Corp,1248,302000,M,1,S,129.29,50
354,INTC,Intel Corp,3149,324000,M,3,B,36.52,0
355,INTU,Intuit Inc,2150,768000,M,2,B,121.21,50
356,ISRG,Intuitive Surgical Inc,3151,708000,M,3,B,694.02,100
357,AAL,American Airlines Group Inc,1101,361000,M,1,B,40.55,0
358,AAPL,Apple Inc,2202,613000,M,2,S,128.82,0
359,ADBE,Adobe Systems Inc,2103,532000,M,2,B,113.39,0
360,ADI,Analog Devices Inc,2104,523000,M,2,B,76.15,0
361,ADP,Automatic Data Processing Inc,3105,984000,M,3,B,95.23,0
362,ADSK,Autodesk Inc,3206,367000,M,3,S,81.32,0
363,AKAM,Akamai Technologies Inc,3107,711000,M,3,B,71.71,0
364,ALXN,Alexion Pharmaceuticals Inc,3208,232000,M,3,S,136.85,0
365,AMAT,Applied Materials Inc,2109,585000,M,2,B,28.01,0
366,AMGN,Amgen Inc,1210,895000,M,1,S,160.75,50
367,AMZN,Amazon.com Inc,2211,648000,M,2,S,832.44,0
368,ATVI,Activision Blizzard Inc,1212,589000,M,1,S,31.56,50
369,AVGO,Broadcom Ltd,3113,925000,M,3,B,203.71,0
370,BBBY,Bed Bath & Beyond Inc,3114,885000,M,3,B,41.79,0
371,BIDU,Baidu Inc,2215,273000,M,2,S,173.84,0
372,BIIB,Biogen Inc,3216,774000,M,3,S,281.92,0
373,BMRN,Biomarin Pharmaceutical Inc,1217,561000,M,1,S,88.75,50
374,CA,CA Inc,2118,153000,M,2,B,30.9,100
375,CELG,Celgene Corp,2119,850000,M,2,B,117.4,50
376,CERN,Cerner Corp,1220,362000,M,1,S,61.99,50
377,CHKP,Check Point Software Technologies Ltd,3221,949000,M,3,S,97.98,0
378,CHTR,Charter Communications Inc,1222,346000,M,1,S,326.89,100
379,CMCSA,Comcast Corp,3123,260000,M,3,B,78.66,100
380,COST,Costco Wholesale Corp,1224,523000,M,1,S,165.41,0
381,CSCO,Cisco Systems Inc,3225,803000,M,3,S,30.75,0
382,CSX,CSX Corp,3226,955000,M,3,S,42.63,0
383,CTRP,Ctrip.Com International Ltd,1227,988000,M,1,S,53.04,0
384,CTSH,Cognizant Technology Solutions Corp,2128,605000,M,2,B,48.96,0
385,CTXS,Citrix Systems Inc,3129,457000,M,3,B,67.75,0
386,DISCA,Discovery Communications Inc,3230,476000,M,3,S,28.11,0
387,DISCK,Discovery Communications Inc,3231,423000,M,3,S,27.54,50
388,DISH,DISH Network Corp,2132,524000,M,2,B,66.12,0
389,DLTR,Dollar Tree Inc,2233,591000,M,2,S,76.45,0
390,EA,Electronic Arts,1134,943000,M,1,B,83.05,0
391,EBAY,eBay Inc,1135,785000,M,1,B,32.14,0
392,ESRX,Express Scripts Holding Co,3136,229000,M,3,B,69.1,0
393,EXPE,Expedia Inc,2237,850000,M,2,S,120.78,0
394,FAST,Fastenal Co,2138,960000,M,2,B,49.58,0
395,FB,Facebook,1239,385000,M,1,S,133.41,0
396,FISV,Fiserv Inc,1140,942000,M,1,B,105.42,0
397,FOX,21st Century Fox Class B,3241,599000,M,3,S,27.9,0
398,FOXA,21st Century Fox Class A,2142,791000,M,2,B,31.57,0
399,GILD,Gilead Sciences Inc,3143,112000,M,3,B,72.84,0
400,GOOG,Alphabet Class C,2244,996000,M,2,S,795.78,0
401,GOOGL,Alphabet Class A,1245,970000,M,1,S,815.31,0
402,HSIC,Henry Schein Inc,1146,823000,M,1,B,159.83,0
403,ILMN,Illumina Inc,1247,269000,M,1,S,162.66,0
404,INCY,Incyte Corp,3148,995000,M,3,B,129.32,0
405,INTC,Intel Corp,2249,884000,M,2,S,36.57,0
406,INTU,Intuit Inc,1150,354000,M,1,B,121.21,50
407,ISRG,Intuitive Surgical Inc,1251,333000,M,1,S,694.2,0
408,AAL,American Airlines Group Inc,2201,815000,M,2,S,44.21,0
409,AAPL,Apple Inc,1202,702000,M,1,S,128.91,100
410,ADBE,Adobe Systems Inc,1103,940000,M,1,B,113.35,50
411,ADI,Analog Devices Inc,1104,368000,M,1,B,76.13,0
412,ADP,Automatic Data Processing Inc,1105,585000,M,1,B,95.26,0
413,ADSK,Autodesk Inc,1106,151000,M,1,B,81.3,0
414,AKAM,Akamai Technologies Inc,2207,907000,M,2,S,68.79,0
415,ALXN,Alexion Pharmaceuticals Inc,1108,400000,M,1,B,132.25,0
416,AMAT,Applied Materials Inc,1209,851000,M,1,S,35.19,0
417,AMGN,Amgen Inc,3210,138000,M,3,S,160.44,0
418,AMZN,Amazon.com Inc,2211,276000,M,2,S,832.38,0
419,ATVI,Activision Blizzard Inc,2212,871000,M,2,S,35.89,100
420,AVGO,Broadcom Ltd,3113,873000,M,3,B,203.67,0
421,BBBY,Bed Bath & Beyond Inc,2214,521000,M,2,S,40.0,0
422,BIDU,Baidu Inc,2215,284000,M,2,S,173.89,0
423,BIIB,Biogen Inc,1116,598000,M,1,B,281.76,100
424,BMRN,Biomarin Pharmaceutical Inc,2117,164000,M,2,B,88.6,0
425,CA,CA Inc,2218,875000,M,2,S,37.96,0
426,CELG,Celgene Corp,3119,199000,M,3,B,119.4,0
427,CERN,Cerner Corp,3120,801000,M,3,B,57.89,0
428,CHKP,Check Point Software Technologies Ltd,1121,931000,M,1,B,97.91,0
429,CHTR,Charter Communications Inc,2122,103000,M,2,B,316.88,0
430,CMCSA,Comcast Corp,3123,524000,M,3,B,81.64,0
431,COST,Costco Wholesale Corp,3124,187000,M,3,B,161.83,50
432,CSCO,Cisco Systems Inc,2225,989000,M,2,S,30.57,100
433,CSX,CSX Corp,2226,733000,M,2,S,47.09,0
434,CTRP,Ctrip.Com International Ltd,2227,144000,M,2,S,43.13,0
435,CTSH,Cognizant Technology Solutions Corp,2228,175000,M,2,S,52.48,0
436,CTXS,Citrix Systems Inc,1229,879000,M,1,S,71.4,0
437,DISCA,Discovery Communications Inc,3230,386000,M,3,S,28.17,0
438,DISCK,Discovery Communications Inc,1231,552000,M,1,S,26.9,0
439,DISH,DISH Network Corp,2132,807000,M,2,B,61.15,50
440,DLTR,Dollar Tree Inc,3133,393000,M,3,B,76.4,0
441,EA,Electronic Arts,2234,144000,M,2,S,83.17,0
442,EBAY,eBay Inc,2135,848000,M,2,B,32.17,100
443,ESRX,Express Scripts Holding Co,1136,177000,M,1,B,69.1,0
444,EXPE,Expedia Inc,1237,763000,M,1,S,120.74,0
445,FAST,Fastenal Co,2238,367000,M,2,S,49.6,0
446,FB,Facebook,1239,762000,M,1,S,133.33,0
447,FISV,Fiserv Inc,2240,521000,M,2,S,105.51,100
448,FOX,21st Century Fox Class B,2141,963000,M,2,B,31.27,0
449,FOXA,21st Century Fox Class A,3142,467000,M,3,B,31.6,50
450,GILD,Gilead Sciences Inc,3143,406000,M,3,B,72.89,0
451,GOOG,Alphabet Class C,2244,615000,M,2,S,795.77,0
452,GOOGL,Alphabet Class A,1245,258000,M,1,S,815.35,0
453,HSIC,Henry Schein Inc,1146,646000,M,1,B,159.86,0
454,ILMN,Illumina Inc,3147,807000,M,3,B,161.58,0
455,INCY,Incyte Corp,2148,204000,M,2,B,124.32,100
456,INTC,Intel Corp,1249,760000,M,1,S,36.52,100
457,INTU,Intuit Inc,1150,120000,M,1,B,121.19,100
458,ISRG,Intuitive Surgical Inc,3251,567000,M,3,S,697.08,50
459,AAL,American Airlines Group Inc,3101,441000,M,3,B,44.01,0
460,AAPL,Apple Inc,2202,503000,M,2,S,120.9,0
461,ADBE,Adobe Systems Inc,1103,682000,M,1,B,109.89,0
462,ADI,Analog Devices Inc,3104,815000,M,3,B,76.12,0
463,ADP,Automatic Data Processing Inc,3105,220000,M,3,B,95.24,0
464,ADSK,Autodesk Inc,2106,480000,M,2,B,81.33,0
465,AKAM,Akamai Technologies Inc,1207,763000,M,1,S,68.76,50
466,ALXN,Alexion Pharmaceuticals Inc,1208,256000,M,1,S,132.31,0
467,AMAT,Applied Materials Inc,3109,544000,M,3,B,35.04,0
468,AMGN,Amgen Inc,2210,223000,M,2,S,159.93,0
469,AMZN,Amazon.com Inc,3111,571000,M,3,B,832.34,0
470,ATVI,Activision Blizzard Inc,2212,216000,M,2,S,31.5,0
471,AVGO,Broadcom Ltd,3213,701000,M,3,S,203.69,0
472,BBBY,Bed Bath & Beyond Inc,1214,936000,M,1,S,39.98,100
473,BIDU,Baidu Inc,1115,291000,M,1,B,173.82,0
474,BIIB,Biogen Inc,2116,882000,M,2,B,288.79,0
475,BMRN,Biomarin Pharmaceutical Inc,2217,318000,M,2,S,88.73,50
476,CA,CA Inc,2218,389000,M,2,S,30.87,0
477,CELG,Celgene Corp,3219,740000,M,3,S,117.43,0
478,CERN,Cerner Corp,3120,511000,M,3,B,53.89,50
479,CHKP,Check Point Software Technologies Ltd,1121,179000,M,1,B,97.91,0
480,CHTR,Charter Communications Inc,1122,208000,M,1,B,326.85,0
481,CMCSA,Comcast Corp,1123,202000,M,1,B,75.62,0
482,COST,Costco Wholesale Corp,3224,416000,M,3,S,165.52,0
483,CSCO,Cisco Systems Inc,1125,622000,M,1,B,37.54,50
484,CSX,CSX Corp,2126,955000,M,2,B,46.98,0
485,CTRP,Ctrip.Com International Ltd,1127,166000,M,1,B,42.97,0
486,CTSH,Cognizant Technology Solutions Corp,3128,903000,M,3,B,52.37,100
487,CTXS,Citrix Systems Inc,1129,998000,M,1,B,71.25,100
488,DISCA,Discovery Communications Inc,3230,201000,M,3,S,28.1,0
489,DISCK,Discovery Communications Inc,2131,440000,M,2,B,27.4,0
490,DISH,DISH Network Corp,2132,613000,M,2,B,66.13,0
491,DLTR,Dollar Tree Inc,3133,797000,M,3,B,76.45,0
492,EA,Electronic Arts,3134,963000,M,3,B,83.05,0
493,EBAY,eBay Inc,2235,796000,M,2,S,24.25,0
494,ESRX,Express Scripts Holding Co,1136,854000,M,1,B,69.09,0
495,EXPE,Expedia Inc,2237,503000,M,2,S,120.85,0
496,FAST,Fastenal Co,1238,632000,M,1,S,49.73,0
497,FB,Facebook,3239,566000,M,3,S,133.35,50
498,FISV,Fiserv Inc,3140,467000,M,3,B,99.45,0
499,FOX,21st Century Fox Class B,3241,300000,M,3,S,31.42,0
500,FOXA,21st Century Fox Class A,3242,149000,M,3,S,27.66,0
501,GILD,Gilead Sciences Inc,2143,819000,M,2,B,72.87,0
502,GOOG,Alphabet Class C,1244,520000,M,1,S,795.83,100
503,GOOGL,Alphabet Class A,1245,625000,M,1,S,815.44,0
504,HSIC,Henry Schein Inc,2146,704000,M,2,B,159.81,0
505,ILMN,Illumina Inc,3247,411000,M,3,S,161.67,50
506,INCY,Incyte Corp,2248,290000,M,2,S,134.51,50
507,INTC,Intel Corp,2149,980000,M,2,B,31.51,0
508,INTU,Intuit Inc,3250,685000,M,3,S,124.85,0
509,ISRG,Intuitive Surgical Inc,2251,486000,M,2,S,695.61,0
510,AAL,American Airlines Group Inc,2201,660000,M,2,S,44.04,0
511,AAPL,Apple Inc,1102,512000,M,1,B,128.79,0
512,ADBE,Adobe Systems Inc,3103,872000,M,3,B,113.36,50
513,ADI,Analog Devices Inc,1204,586000,M,1,S,76.25,0
514,ADP,Automatic Data Processing Inc,3205,233000,M,3,S,95.36,0
515,ADSK,Autodesk Inc,3206,581000,M,3,S,81.46,0
516,AKAM,Akamai Technologies Inc,3207,519000,M,3,S,71.9,0
517,ALXN,Alexion Pharmaceuticals Inc,2108,954000,M,2,B,132.28,0
518,AMAT,Applied Materials Inc,3209,424000,M,3,S,35.03,0
519,AMGN,Amgen Inc,2110,966000,M,2,B,159.72,50
520,AMZN,Amazon.com Inc,2211,547000,M,2,S,832.55,100
521,ATVI,Activision Blizzard Inc,3112,307000,M,3,B,40.31,0
522,AVGO,Broadcom Ltd,3213,952000,M,3,S,203.75,0
523,BBBY,Bed Bath & Beyond Inc,2214,697000,M,2,S,41.99,0
524,BIDU,Baidu Inc,3115,839000,M,3,B,173.84,0
525,BIIB,Biogen Inc,1116,873000,M,1,B,281.75,0
526,BMRN,Biomarin Pharmaceutical Inc,2217,845000,M,2,S,88.59,0
527,CA,CA Inc,3218,240000,M,3,S,31.09,0
528,CELG,Celgene Corp,1219,313000,M,1,S,117.47,100
529,CERN,Cerner Corp,2120,519000,M,2,B,57.88,0
530,CHKP,Check Point Software Technologies Ltd,1121,308000,M,1,B,97.93,0
531,CHTR,Charter Communications Inc,3222,324000,M,3,S,327.03,0
532,CMCSA,Comcast Corp,2123,824000,M,2,B,75.66,0
533,COST,Costco Wholesale Corp,1124,840000,M,1,B,161.85,100
534,CSCO,Cisco Systems Inc,2225,652000,M,2,S,34.11,0
535,CSX,CSX Corp,2126,968000,M,2,B,47.01,100
536,CTRP,Ctrip.Com International Ltd,3127,827000,M,3,B,42.93,0
537,CTSH,Cognizant Technology Solutions Corp,2128,980000,M,2,B,45.38,0
538,CTXS,Citrix Systems Inc,1129,139000,M,1,B,64.29,0
539,DISCA,Discovery Communications Inc,1130,225000,M,1,B,27.96,0
540,DISCK,Discovery Communications Inc,3131,778000,M,3,B,27.37,0
541,DISH,DISH Network Corp,2132,902000,M,2,B,61.1,0
542,DLTR,Dollar Tree Inc,3233,284000,M,3,S,76.54,0
543,EA,Electronic Arts,1134,129000,M,1,B,83.09,0
544,EBAY,eBay Inc,3235,668000,M,3,S,32.15,0
545,ESRX,Express Scripts Holding Co,3236,448000,M,3,S,69.25,0
546,EXPE,Expedia Inc,2137,578000,M,2,B,120.77,100
547,FAST,Fastenal Co,2238,602000,M,2,S,49.75,50
548,FB,Facebook,3239,465000,M,3,S,133.45,50
549,FISV,Fiserv Inc,2240,147000,M,2,S,105.54,0
550,FOX,21st Century Fox Class B,2141,774000,M,2,B,31.24,0
551,FOXA,21st Century Fox Class A,1242,745000,M,1,S,31.63,0
552,GILD,Gilead Sciences Inc,2243,957000,M,2,S,72.9,0
553,GOOG,Alphabet Class C,1144,815000,M,1,B,789.7,0
554,GOOGL,Alphabet Class A,2145,268000,M,2,B,815.27,0
555,HSIC,Henry Schein Inc,1246,480000,M,1,S,159.97,0
556,ILMN,Illumina Inc,1147,610000,M,1,B,162.62,0
557,INCY,Incyte Corp,2248,864000,M,2,S,129.51,0
558,INTC,Intel Corp,3149,897000,M,3,B,36.48,0
559,INTU,Intuit Inc,2150,597000,M,2,B,117.7,50
560,ISRG,Intuitive Surgical Inc,1251,875000,M,1,S,697.22,0
561,AAL,American Airlines Group Inc,1101,832000,M,1,B,43.99,50
562,AAPL,Apple Inc,1202,907000,M,1,S,128.84,50
563,ADBE,Adobe Systems Inc,2103,344000,M,2,B,109.9,0
564,ADI,Analog Devices Inc,3204,940000,M,3,S,76.31,0
565,ADP,Automatic Data Processing Inc,1105,379000,M,1,B,95.19,0
566,ADSK,Autodesk Inc,3206,194000,M,3,S,81.39,0
567,AKAM,Akamai Technologies Inc,3107,203000,M,3,B,68.74,0
568,ALXN,Alexion Pharmaceuticals Inc,1108,591000,M,1,B,132.24,0
569,AMAT,Applied Materials Inc,2209,913000,M,2,S,35.17,0
570,AMGN,Amgen Inc,2110,860000,M,2,B,160.23,0
571,AMZN,Amazon.com Inc,3111,206000,M,3,B,826.39,0
572,ATVI,Activision Blizzard Inc,3112,596000,M,3,B,40.27,0
573,AVGO,Broadcom Ltd,2213,716000,M,2,S,203.8,50
574,BBBY,Bed Bath & Beyond Inc,3214,950000,M,3,S,39.86,0
575,BIDU,Baidu Inc,1215,213000,M,1,S,173.9,0
576,BIIB,Biogen Inc,1216,712000,M,1,S,282.0,50
577,BMRN,Biomarin Pharmaceutical Inc,1117,788000,M,1,B,88.57,0
578,CA,CA Inc,2218,944000,M,2,S,30.93,50
579,CELG,Celgene Corp,1119,597000,M,1,B,121.31,0
580,CERN,Cerner Corp,3220,125000,M,3,S,54.02,0
581,CHKP,Check Point Software Technologies Ltd,1221,428000,M,1,S,97.98,0
582,CHTR,Charter Communications Inc,2122,737000,M,2,B,326.82,50
583,CMCSA,Comcast Corp,2123,788000,M,2,B,75.62,100
584,COST,Costco Wholesale Corp,2224,696000,M,2,S,168.92,0
585,CSCO,Cisco Systems Inc,1125,317000,M,1,B,30.48,0
586,CSX,CSX Corp,2226,445000,M,2,S,38.03,0
587,CTRP,Ctrip.Com International Ltd,3127,859000,M,3,B,42.96,0
588,CTSH,Cognizant Technology Solutions Corp,2128,431000,M,2,B,52.35,0
589,CTXS,Citrix Systems Inc,2129,363000,M,2,B,71.32,100
590,DISCA,Discovery Communications Inc,1130,672000,M,1,B,27.93,0
591,DISCK,Discovery Communications Inc,1231,454000,M,1,S,27.57,0
592,DISH,DISH Network Corp,1132,985000,M,1,B,61.09,0
593,DLTR,Dollar Tree Inc,2133,615000,M,2,B,76.53,50
594,EA,Electronic Arts,3134,687000,M,3,B,83.09,0
595,EBAY,eBay Inc,2235,990000,M,2,S,32.29,50
596,ESRX,Express Scripts Holding Co,3236,897000,M,3,S,69.22,100
597,EXPE,Expedia Inc,3137,928000,M,3,B,114.8,0
598,FAST,Fastenal Co,3138,491000,M,3,B,52.59,0
599,FB,Facebook,2239,495000,M,2,S,133.5,0
600,FISV,Fiserv Inc,3240,748000,M,3,S,105.43,100
601,FOX,21st Century Fox Class B,3241,515000,M,3,S,31.47,0
602,FOXA,21st Century Fox Class A,2142,325000,M,2,B,31.66,0
603,GILD,Gilead Sciences Inc,1143,144000,M,1,B,72.92,0
604,GOOG,Alphabet Class C,2244,225000,M,2,S,795.9,0
605,GOOGL,Alphabet Class A,3145,389000,M,3,B,815.25,100
606,HSIC,Henry Schein Inc,2246,221000,M,2,S,159.94,0
607,ILMN,Illumina Inc,2147,683000,M,2,B,161.6,0
608,INCY,Incyte Corp,1148,514000,M,1,B,124.42,0
609,INTC,Intel Corp,2249,319000,M,2,S,36.52,100
610,INTU,Intuit Inc,1150,821000,M,1,B,121.16,0
611,ISRG,Intuitive Surgical Inc,2151,385000,M,2,B,697.08,0
612,AAL,American Airlines Group Inc,1201,297000,M,1,S,40.51,100
613,AAPL,Apple Inc,1102,602000,M,1,B,124.8,100
614,ADBE,Adobe Systems Inc,2103,632000,M,2,B,113.43,100
615,ADI,Analog Devices Inc,1104,771000,M,1,B,76.15,0
616,ADP,Automatic Data Processing Inc,1205,271000,M,1,S,95.33,0
617,ADSK,Autodesk Inc,2206,985000,M,2,S,81.41,0
618,AKAM,Akamai Technologies Inc,1207,734000,M,1,S,68.89,0
619,ALXN,Alexion Pharmaceuticals Inc,3108,992000,M,3,B,132.25,0
620,AMAT,Applied Materials Inc,1109,353000,M,1,B,35.05,0
621,AMGN,Amgen Inc,1210,988000,M,1,S,159.94,0
622,AMZN,Amazon.com Inc,3111,303000,M,3,B,832.35,50
623,ATVI,Activision Blizzard Inc,3112,197000,M,3,B,40.31,0
624,AVGO,Broadcom Ltd,3113,582000,M,3,B,208.7,0
625,BBBY,Bed Bath & Beyond Inc,2114,505000,M,2,B,39.75,50
626,BIDU,Baidu Inc,3115,574000,M,3,B,173.87,100
627,BIIB,Biogen Inc,2116,880000,M,2,B,285.3,0
628,BMRN,Biomarin Pharmaceutical Inc,2117,342000,M,2,B,88.56,50
629,CA,CA Inc,2118,462000,M,2,B,34.46,0
630,CELG,Celgene Corp,3219,749000,M,3,S,117.44,0
631,CERN,Cerner Corp,2220,418000,M,2,S,54.0,0
632,CHKP,Check Point Software Technologies Ltd,2121,299000,M,2,B,97.95,100
633,CHTR,Charter Communications Inc,3222,932000,M,3,S,321.98,0
634,CMCSA,Comcast Corp,2123,113000,M,2,B,81.62,100
635,COST,Costco Wholesale Corp,1224,911000,M,1,S,161.88,0
636,CSCO,Cisco Systems Inc,3125,586000,M,3,B,30.52,0
637,CSX,CSX Corp,2126,946000,M,2,B,47.05,0
638,CTRP,Ctrip.Com International Ltd,3127,991000,M,3,B,42.95,0
639,CTSH,Cognizant Technology Solutions Corp,3128,467000,M,3,B,52.34,100
640,CTXS,Citrix Systems Inc,2229,465000,M,2,S,64.43,100
641,DISCA,Discovery Communications Inc,3230,244000,M,3,S,27.99,100
642,DISCK,Discovery Communications Inc,1231,816000,M,1,S,27.5,0
643,DISH,DISH Network Corp,2232,760000,M,2,S,61.18,0
644,DLTR,Dollar Tree Inc,2133,738000,M,2,B,72.0,0
645,EA,Electronic Arts,1234,593000,M,1,S,83.27,100
646,EBAY,eBay Inc,3135,191000,M,3,B,28.1,0
647,ESRX,Express Scripts Holding Co,2236,282000,M,2,S,71.13,0
648,EXPE,Expedia Inc,3237,728000,M,3,S,120.85,0
649,FAST,Fastenal Co,2238,319000,M,2,S,49.76,0
650,FB,Facebook,2239,224000,M,2,S,133.47,0
651,FISV,Fiserv Inc,3140,896000,M,3,B,99.4,100
652,FOX,21st Century Fox Class B,2141,574000,M,2,B,31.29,100
653,FOXA,21st Century Fox Class A,1142,667000,M,1,B,31.62,0
654,GILD,Gilead Sciences Inc,1243,506000,M,1,S,73.02,0
655,GOOG,Alphabet Class C,1244,978000,M,1,S,795.83,0
656,GOOGL,Alphabet Class A,3245,892000,M,3,S,816.24,0
657,HSIC,Henry Schein Inc,2246,858000,M,2,S,160.02,0
658,ILMN,Illumina Inc,3247,703000,M,3,S,161.72,0
659,INCY,Incyte Corp,1148,108000,M,1,B,124.43,0
660,INTC,Intel Corp,1249,805000,M,1,S,31.51,50
661,INTU,Intuit Inc,3150,129000,M,3,B,117.67,100
662,ISRG,Intuitive Surgical Inc,3251,519000,M,3,S,697.15,0
663,AAL,American Airlines Group Inc,3201,439000,M,3,S,37.08,0
664,AAPL,Apple Inc,1202,198000,M,1,S,120.85,50
665,ADBE,Adobe Systems Inc,3103,533000,M,3,B,106.45,0
666,ADI,Analog Devices Inc,2104,146000,M,2,B,76.18,0
667,ADP,Automatic Data Processing Inc,3205,604000,M,3,S,95.33,0
668,ADSK,Autodesk Inc,3206,245000,M,3,S,81.4,100
669,AKAM,Akamai Technologies Inc,1107,611000,M,1,B,68.72,0
670,ALXN,Alexion Pharmaceuticals Inc,1108,967000,M,1,B,132.25,0
671,AMAT,Applied Materials Inc,1209,367000,M,1,S,35.17,0
672,AMGN,Amgen Inc,2110,338000,M,2,B,159.83,50
673,AMZN,Amazon.com Inc,1211,422000,M,1,S,829.51,0
674,ATVI,Activision Blizzard Inc,1212,739000,M,1,S,40.37,0
675,AVGO,Broadcom Ltd,1113,422000,M,1,B,203.7,50
676,BBBY,Bed Bath & Beyond Inc,2214,204000,M,2,S,40.95,0
677,BIDU,Baidu Inc,3115,559000,M,3,B,171.89,0
678,BIIB,Biogen Inc,2116,841000,M,2,B,281.79,100
679,BMRN,Biomarin Pharmaceutical Inc,2117,826000,M,2,B,88.56,0
680,CA,CA Inc,1118,630000,M,1,B,31.0,0
681,CELG,Celgene Corp,3119,249000,M,3,B,117.21,50
682,CERN,Cerner Corp,3220,596000,M,3,S,54.05,50
683,CHKP,Check Point Software Technologies Ltd,3121,813000,M,3,B,100.94,0
684,CHTR,Charter Communications Inc,2222,828000,M,2,S,327.03,0
685,CMCSA,Comcast Corp,1123,158000,M,1,B,81.61,0
686,COST,Costco Wholesale Corp,3124,246000,M,3,B,161.83,0
687,CSCO,Cisco Systems Inc,1125,347000,M,1,B,30.55,100
688,CSX,CSX Corp,3226,305000,M,3,S,47.1,50
689,CTRP,Ctrip.Com International Ltd,3127,939000,M,3,B,42.95,100
690,CTSH,Cognizant Technology Solutions Corp,3228,392000,M,3,S,45.47,0
691,CTXS,Citrix Systems Inc,2129,331000,M,2,B,64.37,0
692,DISCA,Discovery Communications Inc,1230,952000,M,1,S,36.97,0
693,DISCK,Discovery Communications Inc,2131,357000,M,2,B,27.41,0
694,DISH,DISH Network Corp,3232,380000,M,3,S,61.29,0
695,DLTR,Dollar Tree Inc,1133,153000,M,1,B,76.52,0
696,EA,Electronic Arts,1134,325000,M,1,B,86.09,0
697,EBAY,eBay Inc,1235,542000,M,1,S,32.16,50
698,ESRX,Express Scripts Holding Co,2136,709000,M,2,B,68.97,0
699,EXPE,Expedia Inc,1137,337000,M,1,B,120.81,0
700,FAST,Fastenal Co,3138,558000,M,3,B,49.65,0
701,FB,Facebook,3239,650000,M,3,S,133.36,0
702,FISV,Fiserv Inc,3240,133000,M,3,S,99.58,0
703,FOX,21st Century Fox Class B,2141,903000,M,2,B,24.34,50
704,FOXA,21st Century Fox Class A,2142,465000,M,2,B,31.62,0
705,GILD,Gilead Sciences Inc,1143,301000,M,1,B,72.95,0
